c_id,annotator_1,annotator_3,p_label,p_value,p_target,c_testcase,t_case_local,t_function,t_direction,t_id,c_order,c_group,t_gold,annotation_common,annotation_selected
36,hateful,hateful,{IDENTITY_P},ஓரினச்சேர்க்கையாளர்கள்,Homosexual,ஓரினச்சேர்க்கையாளர்கள்ஐயும் நிரந்தரமா தொலைக்கனும் மச்சி!,{IDENTITY_P}ஐயும் நிரந்தரமா தொலைக்கனும் மச்சி!,profanity_h,,244,2189,1,hateful,hateful,hateful
41,hateful,hateful,{IDENTITY_P},மூத்தவர்கள்,seniors,மூத்தவர்கள்ஐயும் நிரந்தரமா தொலைக்கனும் மச்சி!,{IDENTITY_P}ஐயும் நிரந்தரமா தொலைக்கனும் மச்சி!,profanity_h,,244,1202,1,hateful,hateful,hateful
42,hateful,hateful,{IDENTITY_S},சீனர்,Chinese,சீனர் அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,{IDENTITY_S} அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,derog_neg_attrib_h,,36,575,1,hateful,hateful,hateful
48,hateful,hateful,{IDENTITY_S},பௌத்தன்,Buddhist,பௌத்தன் அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,{IDENTITY_S} அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,derog_neg_attrib_h,,36,2355,1,hateful,hateful,hateful
49,hateful,hateful,{IDENTITY_S},புலம்பெயர்ந்தவர்,Immigrants,புலம்பெயர்ந்தவர் அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,{IDENTITY_S} அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,derog_neg_attrib_h,,36,425,1,hateful,hateful,hateful
54,hateful,hateful,{IDENTITY_S},மனநலம் பாதிக்கப்பட்ட நபர்,mentally ill,மனநலம் பாதிக்கப்பட்ட நபர் அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,{IDENTITY_S} அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,derog_neg_attrib_h,,36,503,1,hateful,hateful,hateful
55,hateful,hateful,{IDENTITY_S},மூத்தவர்,seniors,மூத்தவர் அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,{IDENTITY_S} அவ்வளோ லுசுத்தனமா இருக்குறது சகஜம்தான்,derog_neg_attrib_h,,36,2796,1,hateful,hateful,hateful
58,hateful,hateful,{IDENTITY_P},இந்தியர்கள்,Indians,அந்த இந்தியர்கள் தீயில எரிக்கணும் டா.,அந்த {IDENTITY_P} தீயில எரிக்கணும் டா.,threat_norm_h,directed,120,1361,1,hateful,hateful,hateful
59,hateful,hateful,{IDENTITY_P},கிறித்துவர்கள்,Christian,அந்த கிறித்துவர்கள் தீயில எரிக்கணும் டா.,அந்த {IDENTITY_P} தீயில எரிக்கணும் டா.,threat_norm_h,directed,120,224,1,hateful,hateful,hateful
60,hateful,hateful,{IDENTITY_P},இஸ்லாமியர்கள்,Muslim,அந்த இஸ்லாமியர்கள் தீயில எரிக்கணும் டா.,அந்த {IDENTITY_P} தீயில எரிக்கணும் டா.,threat_norm_h,directed,120,2413,1,hateful,hateful,hateful
64,hateful,hateful,{IDENTITY_P},ஓரினச்சேர்க்கையாளர்கள்,Homosexual,அந்த ஓரினச்சேர்க்கையாளர்கள் தீயில எரிக்கணும் டா.,அந்த {IDENTITY_P} தீயில எரிக்கணும் டா.,threat_norm_h,directed,120,758,1,hateful,hateful,hateful
65,hateful,hateful,{IDENTITY_P},திருநங்கைகள்,Transexual,அந்த திருநங்கைகள் தீயில எரிக்கணும் டா.,அந்த {IDENTITY_P} தீயில எரிக்கணும் டா.,threat_norm_h,directed,120,556,1,hateful,hateful,hateful
66,hateful,hateful,{IDENTITY_P},பெண்கள்,Women,அந்த பெண்கள் தீயில எரிக்கணும் டா.,அந்த {IDENTITY_P} தீயில எரிக்கணும் டா.,threat_norm_h,directed,120,1188,1,hateful,hateful,hateful
68,hateful,hateful,{IDENTITY_P},மனநலம் பாதிக்கப்பட்ட நபர்கள்,mentally ill,அந்த மனநலம் பாதிக்கப்பட்ட நபர்கள் தீயில எரிக்கணும் டா.,அந்த {IDENTITY_P} தீயில எரிக்கணும் டா.,threat_norm_h,directed,120,1040,1,hateful,hateful,hateful
69,hateful,hateful,{IDENTITY_P},மூத்தவர்கள்,seniors,அந்த மூத்தவர்கள் தீயில எரிக்கணும் டா.,அந்த {IDENTITY_P} தீயில எரிக்கணும் டா.,threat_norm_h,directed,120,1107,1,hateful,hateful,hateful
70,hateful,non-hateful,{IDENTITY_P},சீனர்கள்,Chinese,"சீனர்கள் எப்போதும் மிகவும் அருவருப்பாக நடத்துகிறார்கள், அதை அவர்கள் தடுக்க முடியவில்லை.","{IDENTITY_P} எப்போதும் மிகவும் அருவருப்பாக நடத்துகிறார்கள், அதை அவர்கள் தடுக்க முடியவில்லை.",derog_neg_attrib_h,,25,1118,1,hateful,"hateful', 'non-hateful",undecided
78,hateful,non-hateful,{IDENTITY_P},ஓரினச்சேர்க்கையாளர்கள்,Homosexual,"ஓரினச்சேர்க்கையாளர்கள் எப்போதும் மிகவும் அருவருப்பாக நடத்துகிறார்கள், அதை அவர்கள் தடுக்க முடியவில்லை.","{IDENTITY_P} எப்போதும் மிகவும் அருவருப்பாக நடத்துகிறார்கள், அதை அவர்கள் தடுக்க முடியவில்லை.",derog_neg_attrib_h,,25,338,1,hateful,"hateful', 'non-hateful",undecided
84,hateful,non-hateful,{IDENTITY_A},குடியேறி,Immigrants,குடியேறி வாழ்க்கை ஒரு குப்பைக்கும் மதிப்பே இல்லை.,{IDENTITY_A} வாழ்க்கை ஒரு குப்பைக்கும் மதிப்பே இல்லை.,profanity_h,,250,1113,1,hateful,"hateful', 'non-hateful",undecided
86,hateful,hateful,{IDENTITY_A},முதியவர்,seniors,முதியவர் வாழ்க்கை ஒரு குப்பைக்கும் மதிப்பே இல்லை.,{IDENTITY_A} வாழ்க்கை ஒரு குப்பைக்கும் மதிப்பே இல்லை.,profanity_h,,250,2284,1,hateful,hateful,hateful
90,hateful,hateful,{IDENTITY_P},இந்தியர்கள்,Indians,உன்ன மாரி இந்தியர்கள் எல்லா கஸ்மாலம் தான்,உன்ன மாரி {IDENTITY_P} எல்லா கஸ்மாலம் தான்,derog_dehum_h,,43,1949,1,hateful,hateful,hateful
91,hateful,hateful,{IDENTITY_P},கிறித்துவர்கள்,Christian,உன்ன மாரி கிறித்துவர்கள் எல்லா கஸ்மாலம் தான்,உன்ன மாரி {IDENTITY_P} எல்லா கஸ்மாலம் தான்,derog_dehum_h,,43,528,1,hateful,hateful,hateful
93,hateful,hateful,{IDENTITY_P},இந்துவர்கள்,Hindu,உன்ன மாரி இந்துவர்கள் எல்லா கஸ்மாலம் தான்,உன்ன மாரி {IDENTITY_P} எல்லா கஸ்மாலம் தான்,derog_dehum_h,,43,1916,1,hateful,hateful,hateful
99,hateful,hateful,{IDENTITY_P},உடல் ஊனமுற்றவர்கள்,physically disabled,உன்ன மாரி உடல் ஊனமுற்றவர்கள் எல்லா கஸ்மாலம் தான்,உன்ன மாரி {IDENTITY_P} எல்லா கஸ்மாலம் தான்,derog_dehum_h,,43,2743,1,hateful,hateful,hateful
100,hateful,hateful,{IDENTITY_P},மனநலம் பாதிக்கப்பட்ட நபர்கள்,mentally ill,உன்ன மாரி மனநலம் பாதிக்கப்பட்ட நபர்கள் எல்லா கஸ்மாலம் தான்,உன்ன மாரி {IDENTITY_P} எல்லா கஸ்மாலம் தான்,derog_dehum_h,,43,644,1,hateful,hateful,hateful
104,hateful,hateful,{IDENTITY_P},இந்தியர்கள்,Indians,நீங்கள் இந்தியர்கள் எல்லாரும் நேர்மையல்லாதவங்க.,நீங்கள் {IDENTITY_P} எல்லாரும் நேர்மையல்லாதவங்க.,derog_neg_attrib_h,,27,2800,1,hateful,hateful,hateful
109,hateful,hateful,{IDENTITY_P},புலம்பெயர்ந்தவர்கள்,Immigrants,நீங்கள் புலம்பெயர்ந்தவர்கள் எல்லாரும் நேர்மையல்லாதவங்க.,நீங்கள் {IDENTITY_P} எல்லாரும் நேர்மையல்லாதவங்க.,derog_neg_attrib_h,,27,2086,1,hateful,hateful,hateful
112,hateful,hateful,{IDENTITY_P},பெண்கள்,Women,நீங்கள் பெண்கள் எல்லாரும் நேர்மையல்லாதவங்க.,நீங்கள் {IDENTITY_P} எல்லாரும் நேர்மையல்லாதவங்க.,derog_neg_attrib_h,,27,1182,1,hateful,hateful,hateful
114,hateful,hateful,{IDENTITY_P},மனநலம் பாதிக்கப்பட்ட நபர்கள்,mentally ill,நீங்கள் மனநலம் பாதிக்கப்பட்ட நபர்கள் எல்லாரும் நேர்மையல்லாதவங்க.,நீங்கள் {IDENTITY_P} எல்லாரும் நேர்மையல்லாதவங்க.,derog_neg_attrib_h,,27,23,1,hateful,hateful,hateful
116,hateful,hateful,{IDENTITY_P},சீனர்கள்,Chinese,சீனர்கள் போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,{IDENTITY_P} போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,derog_neg_emote_h,,17,1555,1,hateful,hateful,hateful
117,hateful,hateful,{IDENTITY_P},மலாய்கார்ர்கள்,Malay,மலாய்கார்ர்கள் போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,{IDENTITY_P} போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,derog_neg_emote_h,,17,903,1,hateful,hateful,hateful
118,hateful,hateful,{IDENTITY_P},இந்தியர்கள்,Indians,இந்தியர்கள் போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,{IDENTITY_P} போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,derog_neg_emote_h,,17,1206,1,hateful,hateful,hateful
119,hateful,hateful,{IDENTITY_P},கிறித்துவர்கள்,Christian,கிறித்துவர்கள் போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,{IDENTITY_P} போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,derog_neg_emote_h,,17,2287,1,hateful,hateful,hateful
120,hateful,hateful,{IDENTITY_P},இஸ்லாமியர்கள்,Muslim,இஸ்லாமியர்கள் போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,{IDENTITY_P} போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,derog_neg_emote_h,,17,1585,1,hateful,hateful,hateful
121,hateful,hateful,{IDENTITY_P},இந்துவர்கள்,Hindu,இந்துவர்கள் போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,{IDENTITY_P} போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,derog_neg_emote_h,,17,1715,1,hateful,hateful,hateful
123,hateful,hateful,{IDENTITY_P},புலம்பெயர்ந்தவர்கள்,Immigrants,புலம்பெயர்ந்தவர்கள் போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,{IDENTITY_P} போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,derog_neg_emote_h,,17,2536,1,hateful,hateful,hateful
124,hateful,hateful,{IDENTITY_P},ஓரினச்சேர்க்கையாளர்கள்,Homosexual,ஓரினச்சேர்க்கையாளர்கள் போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,{IDENTITY_P} போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,derog_neg_emote_h,,17,2651,1,hateful,hateful,hateful
129,hateful,hateful,{IDENTITY_P},மூத்தவர்கள்,seniors,மூத்தவர்கள் போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,{IDENTITY_P} போல ஒருவர் என்னை வெறுப்படுத்துகிறார்கள்.,derog_neg_emote_h,,17,866,1,hateful,hateful,hateful
131,hateful,hateful,{IDENTITY_A},மனவளர்ச்சி குன்றியவர்,mentally ill,உங்கள் மனவளர்ச்சி குன்றியவர் வாழ்க்கை என்னவோ பயனற்றதுதான்.,உங்கள் {IDENTITY_A} வாழ்க்கை என்னவோ பயனற்றதுதான்.,derog_dehum_h,,52,1577,1,hateful,hateful,hateful
133,hateful,hateful,{IDENTITY_P},சீனர்கள்,Chinese,இவ்வளவு அழுக்கமானவர் இந்த சீனர்கள் தவிர வேறு யாரும் இல்லை.,இவ்வளவு அழுக்கமானவர் இந்த {IDENTITY_P} தவிர வேறு யாரும் இல்லை.,derog_neg_attrib_h,,35,683,1,hateful,hateful,hateful
134,hateful,hateful,{IDENTITY_P},மலாய்கார்ர்கள்,Malay,இவ்வளவு அழுக்கமானவர் இந்த மலாய்கார்ர்கள் தவிர வேறு யாரும் இல்லை.,இவ்வளவு அழுக்கமானவர் இந்த {IDENTITY_P} தவிர வேறு யாரும் இல்லை.,derog_neg_attrib_h,,35,752,1,hateful,hateful,hateful
137,hateful,hateful,{IDENTITY_P},இஸ்லாமியர்கள்,Muslim,இவ்வளவு அழுக்கமானவர் இந்த இஸ்லாமியர்கள் தவிர வேறு யாரும் இல்லை.,இவ்வளவு அழுக்கமானவர் இந்த {IDENTITY_P} தவிர வேறு யாரும் இல்லை.,derog_neg_attrib_h,,35,2822,1,hateful,hateful,hateful
144,hateful,hateful,{IDENTITY_P},உடல் ஊனமுற்றவர்கள்,physically disabled,இவ்வளவு அழுக்கமானவர் இந்த உடல் ஊனமுற்றவர்கள் தவிர வேறு யாரும் இல்லை.,இவ்வளவு அழுக்கமானவர் இந்த {IDENTITY_P} தவிர வேறு யாரும் இல்லை.,derog_neg_attrib_h,,35,1787,1,hateful,hateful,hateful
153,hateful,hateful,{IDENTITY_S},பௌத்தன்,Buddhist,பௌத்தன் ஓவொருவருடைய வாழ்க்கையும் முடிக்கணும்னு ஆசைப்படுறேன் டா.,{IDENTITY_S} ஓவொருவருடைய வாழ்க்கையும் முடிக்கணும்னு ஆசைப்படுறேன் டா.,threat_dir_h,,82,263,1,hateful,hateful,hateful
154,hateful,hateful,{IDENTITY_S},புலம்பெயர்ந்தவர்,Immigrants,புலம்பெயர்ந்தவர் ஓவொருவருடைய வாழ்க்கையும் முடிக்கணும்னு ஆசைப்படுறேன் டா.,{IDENTITY_S} ஓவொருவருடைய வாழ்க்கையும் முடிக்கணும்னு ஆசைப்படுறேன் டா.,threat_dir_h,,82,294,1,hateful,hateful,hateful
155,hateful,hateful,{IDENTITY_S},ஓரினச்சேர்க்கையாளர்,Homosexual,ஓரினச்சேர்க்கையாளர் ஓவொருவருடைய வாழ்க்கையும் முடிக்கணும்னு ஆசைப்படுறேன் டா.,{IDENTITY_S} ஓவொருவருடைய வாழ்க்கையும் முடிக்கணும்னு ஆசைப்படுறேன் டா.,threat_dir_h,,82,685,1,hateful,hateful,hateful
161,hateful,hateful,{IDENTITY_P},சீனர்கள்,Chinese,சீனர்கள் கெட்ட அழுக்குடா.,{IDENTITY_P} கெட்ட அழுக்குடா.,derog_dehum_h,,42,121,1,hateful,hateful,hateful
164,hateful,hateful,{IDENTITY_P},கிறித்துவர்கள்,Christian,கிறித்துவர்கள் கெட்ட அழுக்குடா.,{IDENTITY_P} கெட்ட அழுக்குடா.,derog_dehum_h,,42,1388,1,hateful,hateful,hateful
167,hateful,hateful,{IDENTITY_P},பௌத்தர்கள்,Buddhist,பௌத்தர்கள் கெட்ட அழுக்குடா.,{IDENTITY_P} கெட்ட அழுக்குடா.,derog_dehum_h,,42,561,1,hateful,hateful,hateful
170,hateful,hateful,{IDENTITY_P},திருநங்கைகள்,Transexual,திருநங்கைகள் கெட்ட அழுக்குடா.,{IDENTITY_P} கெட்ட அழுக்குடா.,derog_dehum_h,,42,2068,1,hateful,hateful,hateful
171,hateful,hateful,{IDENTITY_P},பெண்கள்,Women,பெண்கள் கெட்ட அழுக்குடா.,{IDENTITY_P} கெட்ட அழுக்குடா.,derog_dehum_h,,42,611,1,hateful,hateful,hateful
172,hateful,hateful,{IDENTITY_P},உடல் ஊனமுற்றவர்கள்,physically disabled,உடல் ஊனமுற்றவர்கள் கெட்ட அழுக்குடா.,{IDENTITY_P} கெட்ட அழுக்குடா.,derog_dehum_h,,42,390,1,hateful,hateful,hateful
174,hateful,hateful,{IDENTITY_P},மூத்தவர்கள்,seniors,மூத்தவர்கள் கெட்ட அழுக்குடா.,{IDENTITY_P} கெட்ட அழுக்குடா.,derog_dehum_h,,42,2682,1,hateful,hateful,hateful
176,hateful,hateful,{IDENTITY_P},மலாய்கார்ர்கள்,Malay,நான் மலாய்கார்ர்கள் எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,நான் {IDENTITY_P} எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,threat_dir_h,,81,2469,1,hateful,hateful,hateful
180,hateful,hateful,{IDENTITY_P},இந்துவர்கள்,Hindu,நான் இந்துவர்கள் எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,நான் {IDENTITY_P} எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,threat_dir_h,,81,184,1,hateful,hateful,hateful
182,hateful,hateful,{IDENTITY_P},புலம்பெயர்ந்தவர்கள்,Immigrants,நான் புலம்பெயர்ந்தவர்கள் எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,நான் {IDENTITY_P} எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,threat_dir_h,,81,837,1,hateful,hateful,hateful
183,hateful,hateful,{IDENTITY_P},ஓரினச்சேர்க்கையாளர்கள்,Homosexual,நான் ஓரினச்சேர்க்கையாளர்கள் எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,நான் {IDENTITY_P} எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,threat_dir_h,,81,1639,1,hateful,hateful,hateful
188,hateful,hateful,{IDENTITY_P},மூத்தவர்கள்,seniors,நான் மூத்தவர்கள் எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,நான் {IDENTITY_P} எல்லாரையும் கொல்ல ஆசைபடுகிறேன் டா.,threat_dir_h,,81,592,1,hateful,hateful,hateful
190,hateful,hateful,{IDENTITY_S},மலாய்,Malay,மலாய் விட எந்த பூச்சியின் வாழ்க்கையே மிகுந்தது.,{IDENTITY_S} விட எந்த பூச்சியின் வாழ்க்கையே மிகுந்தது.,derog_impl_h,,68,1989,1,hateful,hateful,hateful
199,hateful,hateful,{IDENTITY_S},பெண்,Women,பெண் விட எந்த பூச்சியின் வாழ்க்கையே மிகுந்தது.,{IDENTITY_S} விட எந்த பூச்சியின் வாழ்க்கையே மிகுந்தது.,derog_impl_h,,68,1889,1,hateful,hateful,hateful
201,hateful,hateful,{IDENTITY_S},மனநலம் பாதிக்கப்பட்ட நபர்,mentally ill,மனநலம் பாதிக்கப்பட்ட நபர் விட எந்த பூச்சியின் வாழ்க்கையே மிகுந்தது.,{IDENTITY_S} விட எந்த பூச்சியின் வாழ்க்கையே மிகுந்தது.,derog_impl_h,,68,264,1,hateful,hateful,hateful
202,hateful,hateful,{IDENTITY_S},மூத்தவர்,seniors,மூத்தவர் விட எந்த பூச்சியின் வாழ்க்கையே மிகுந்தது.,{IDENTITY_S} விட எந்த பூச்சியின் வாழ்க்கையே மிகுந்தது.,derog_impl_h,,68,1838,1,hateful,hateful,hateful
204,hateful,hateful,{IDENTITY_P},மலாய்கார்ர்கள்,Malay,நான் மலாய்கார்ர்கள் ஐ வெறுக்கிறேன்.,நான் {IDENTITY_P} ஐ வெறுக்கிறேன்.,derog_neg_emote_h,general,4,1315,1,hateful,hateful,hateful
205,hateful,hateful,{IDENTITY_P},இந்தியர்கள்,Indians,நான் இந்தியர்கள் ஐ வெறுக்கிறேன்.,நான் {IDENTITY_P} ஐ வெறுக்கிறேன்.,derog_neg_emote_h,general,4,232,1,hateful,hateful,hateful
209,hateful,hateful,{IDENTITY_P},பௌத்தர்கள்,Buddhist,நான் பௌத்தர்கள் ஐ வெறுக்கிறேன்.,நான் {IDENTITY_P} ஐ வெறுக்கிறேன்.,derog_neg_emote_h,general,4,1901,1,hateful,hateful,hateful
211,hateful,hateful,{IDENTITY_P},ஓரினச்சேர்க்கையாளர்கள்,Homosexual,நான் ஓரினச்சேர்க்கையாளர்கள் ஐ வெறுக்கிறேன்.,நான் {IDENTITY_P} ஐ வெறுக்கிறேன்.,derog_neg_emote_h,general,4,2459,1,hateful,hateful,hateful
215,hateful,hateful,{IDENTITY_P},மனநலம் பாதிக்கப்பட்ட நபர்கள்,mentally ill,நான் மனநலம் பாதிக்கப்பட்ட நபர்கள் ஐ வெறுக்கிறேன்.,நான் {IDENTITY_P} ஐ வெறுக்கிறேன்.,derog_neg_emote_h,general,4,450,1,hateful,hateful,hateful
217,hateful,hateful,{IDENTITY_P},சீனர்கள்,Chinese,இந்த பூமியில அடிமுட்டாளுங்க சீனர்கள்தானு சந்தேகமே இல்ல,இந்த பூமியில அடிமுட்டாளுங்க {IDENTITY_P}தானு சந்தேகமே இல்ல,derog_neg_attrib_h,,37,1171,1,hateful,hateful,hateful
225,hateful,hateful,{IDENTITY_P},ஓரினச்சேர்க்கையாளர்கள்,Homosexual,இந்த பூமியில அடிமுட்டாளுங்க ஓரினச்சேர்க்கையாளர்கள்தானு சந்தேகமே இல்ல,இந்த பூமியில அடிமுட்டாளுங்க {IDENTITY_P}தானு சந்தேகமே இல்ல,derog_neg_attrib_h,,37,1908,1,hateful,hateful,hateful
226,hateful,hateful,{IDENTITY_P},திருநங்கைகள்,Transexual,இந்த பூமியில அடிமுட்டாளுங்க திருநங்கைகள்தானு சந்தேகமே இல்ல,இந்த பூமியில அடிமுட்டாளுங்க {IDENTITY_P}தானு சந்தேகமே இல்ல,derog_neg_attrib_h,,37,7,1,hateful,hateful,hateful
227,hateful,hateful,{IDENTITY_P},பெண்கள்,Women,இந்த பூமியில அடிமுட்டாளுங்க பெண்கள்தானு சந்தேகமே இல்ல,இந்த பூமியில அடிமுட்டாளுங்க {IDENTITY_P}தானு சந்தேகமே இல்ல,derog_neg_attrib_h,,37,1133,1,hateful,hateful,hateful
228,hateful,hateful,{IDENTITY_P},உடல் ஊனமுற்றவர்கள்,physically disabled,இந்த பூமியில அடிமுட்டாளுங்க உடல் ஊனமுற்றவர்கள்தானு சந்தேகமே இல்ல,இந்த பூமியில அடிமுட்டாளுங்க {IDENTITY_P}தானு சந்தேகமே இல்ல,derog_neg_attrib_h,,37,1694,1,hateful,hateful,hateful
233,hateful,non-hateful,{SLUR_S},புண்டை,Women,என்னால இந்த புண்டைஐ நம்ப முடியல,என்னால இந்த {SLUR_S}ஐ நம்ப முடியல,slur_h,,123,1247,1,hateful,"hateful', 'non-hateful",undecided
240,hateful,non-hateful,{IDENTITY_S},இந்து,Hindu,இந்து கிட்ட இருந்து யோசன வந்தாலே கண்டிப்பா மட்டமாதான் இருக்கும்,{IDENTITY_S} கிட்ட இருந்து யோசன வந்தாலே கண்டிப்பா மட்டமாதான் இருக்கும்,profanity_h,general,253,2269,1,hateful,"hateful', 'non-hateful",undecided
241,hateful,hateful,{IDENTITY_S},பௌத்தன்,Buddhist,பௌத்தன் கிட்ட இருந்து யோசன வந்தாலே கண்டிப்பா மட்டமாதான் இருக்கும்,{IDENTITY_S} கிட்ட இருந்து யோசன வந்தாலே கண்டிப்பா மட்டமாதான் இருக்கும்,profanity_h,general,253,1656,1,hateful,hateful,hateful
242,hateful,hateful,{IDENTITY_S},புலம்பெயர்ந்தவர்,Immigrants,புலம்பெயர்ந்தவர் கிட்ட இருந்து யோசன வந்தாலே கண்டிப்பா மட்டமாதான் இருக்கும்,{IDENTITY_S} கிட்ட இருந்து யோசன வந்தாலே கண்டிப்பா மட்டமாதான் இருக்கும்,profanity_h,general,253,619,1,hateful,hateful,hateful
248,hateful,hateful,{IDENTITY_S},மூத்தவர்,seniors,மூத்தவர் கிட்ட இருந்து யோசன வந்தாலே கண்டிப்பா மட்டமாதான் இருக்கும்,{IDENTITY_S} கிட்ட இருந்து யோசன வந்தாலே கண்டிப்பா மட்டமாதான் இருக்கும்,profanity_h,general,253,1221,1,hateful,hateful,hateful
249,hateful,hateful,{IDENTITY_P},சீனர்கள்,Chinese,நான் முழுமையாகவே சீனர்கள் ஐ வெறுக்கின்றேன்.,நான் முழுமையாகவே {IDENTITY_P} ஐ வெறுக்கின்றேன்.,derog_neg_emote_h,,5,1562,1,hateful,hateful,hateful
